MonuNum,Run_no,MonuNm,Type,Comp_sheet,TOPO,Gauss_Lo,LO,Y_Gauss,Y_LO,X_Gauss,X_LO,MSL_Hgt,H_acc,LatCD,LonCD,P_acc,CM_UTM,UTMCM,E_UTM,Y_UTM,N_UTM,X_UTM,Lat_WGS84,Lon_WGS84,P84_acc,EllpHgt,H84_acc,Geoid_Sep,Src_Geoid,PedHgt,PillHgt,TopSignal,BotSignal,Establ,Date_Revisions,Observed,Computed,Last_insp,Destroy,DegSqr,Invest,Check,Remark,Intervisibility,AREA_NM,Township,Reported_by
819/S,,Charlie,SEC,RL0830,1729D4,29,,-96711.43,,1968186.72,,1234,,174736.477,295443.496,,27,,808753.42,,8030436.52,,0,0,,0,,,,0.15,1.2,0.917,0.461,,,,,1997-08-05 00:00:00,,1729,False,False,,,Chakari,,
82/NRS,,Forest,SEC,PP4635,1528A2,29,,67486.38,,1664632.29,,1194.6,,150305.259,282220.598,,27,,647522.08,,8335670.65,,0,0,,0,,,,,,,,,,,,,,1528,False,False,,,Zambia,,
82/P,,FILABUSI,PRIM,QH3448,2029A3,29,,-25581.32,,2250577.86,,1317.7,,202048.224,291441.955,,27,,734370.42,,7748744.3,,0,0,,0,,,,0,1.2,0.915,0.452,,,,,1995-07-07 00:00:00,,2029,False,False,No pedastal.SEC SIGNAL,,Esigodhini,,
82/Q,,V.H.F. HARARE,QUART,TR9227,1731C3,31,,-5375.49,,1971379.07,,1574.3,,174927.95,310302.544,,33,,293402.14,,8028334.16,,0,0,,0,,,,,,,,,,,,,,1731,False,False,Height to bottom of vane,,Harare,,
82/S,,MZOWE,SEC,QH8869,2029B2,29,,-80458.62,,2228678.28,,1321.2,,200850.604,294610.342,,27,,789531.25,,7769987.68,,0,0,,0,,,,0.15,1.2,0.92,0.46,,,,,1994-10-14 00:00:00,,2029,False,False,,,Zvishavane,,
82/T,,Auds Hill,TERT,UR0235,1731C3,31,,-15241.31,,1964516.15,,1544.6,,174544.538,310837.393,,33,,303195.17,,8035302.67,,0,0,,0,,,,1.5,1.2,0.92,0.466,,,,,2001-05-04 00:00:00,,1731,True,False,Beacon can no longer see any other Trigs,,Harare,,
820/S,,CHIPUKUNYANGWE,SEC,VN6441,2032B3,33,,34488.86,,2259135.19,,1119.9,,202525.998,324010.354,,33,,465524.93,,7741768.47,,0,0,,0,,,,0.3,1.2,0.931,0.475,,,,,1995-07-22 00:00:00,,2032,False,False,,,Chipinge,,
821/S,,BIG TREE,SEC,VN4839,2032B3,33,,51407.46,,2260995.78,,1089.3,,202625.123,323026.591,,33,,448613.1,,7739908.62,,0,0,,0,,,,0.15,1.2,0.927,0.47,,,,,1995-08-05 00:00:00,,2032,False,False,BEACON BADLY BENT,,Chipinge,,
822/S,,GELUK,SEC,VN5450,2032B3,33,,44547.25,,2250469.15,,1078.3,,202043.432,323424.185,,33,,455470.57,,7750431.04,,0,0,,0,,,,1.4,1.2,0.92,0.465,,,,,1995-08-02 00:00:00,,2032,False,False,,,Chipinge,,
823/S,,LETTIESWAN,SEC,VN6853,2032B3,33,,31898.49,,2247093.6,,1089.5,,201854.573,324140.475,,33,,468114.27,,7753805.24,,0,0,,0,,,,0.9,1.2,0.937,0.48,,,,,1995-07-31 00:00:00,,2032,False,False,,,Chipinge,,
824/S,,GLENDALOUGH,SEC,VN5261,2032B1,33,,47319.46,,2239532.92,,1303.6,,201447.552,323249.646,,33,,452699.47,,7761362.9,,0,0,,0,,,,4.3,1.2,,,,,,,1995-08-04 00:00:00,,2032,True,False,,,Chipinge,,
825/S,,CHIPINGA,SEC,VN6462,2032B1,33,,35467.55,,2238648.96,,1120.6,,201419.729,323938.05,,33,,464546.63,,7762246.5,,0,0,,0,,,,0.5,1.2,0.922,0.465,,,,,1995-06-24 00:00:00,,2032,False,False,,,Chipinge,,
826/S,,DIMGLY DELL,SEC,VN7261,2032B1,33,,26820.65,,2239066.18,,939.4,,201433.803,324435.934,,33,,473190.08,,7761829.44,,0,0,,0,,,,1.5,1.2,0.925,0.47,,,,,1995-07-01 00:00:00,,2032,False,False,,,Chipinge,,
827/S,,GOOD HOPE,SEC,VN8658,2032B4,33,,13399.21,,2242810.05,,1015,,201636.062,325218.249,,33,,486606.15,,7758087.08,,0,0,,0,,,,0.9,1.2,0.925,0.461,,,,,1975-03-23 00:00:00,,2032,False,False,,,Chipinge,,
828/S,,WOLVERHAMPTON,SEC,VN8470,2032B2,33,,15318.05,,2230277.09,,1149.6,,200948.432,325112.505,,33,,484688.08,,7770615.02,,0,0,,0,,,,0.15,1.2,0.928,0.461,,,,,1975-03-22 00:00:00,,2032,False,False,,,Chipinge,,
829/S,,ENHOEK,SEC,VN7668,2032B2,33,,23076.26,,2232341.6,,1196.4,,201055.292,324645.249,,33,,476932.97,,7768551.34,,0,0,,0,,,,0.9,1.2,0.92,0.462,,,,,1995-07-04 00:00:00,,2032,False,False,,,Chipinge,,
83/NRS,,Ngwerere,SEC,PP4606,1528A4,29,,68664.93,,1693963.83,,1311,,151859.465,282138.273,,27,,646075.65,,8306356.7,,0,0,,0,,,,,,,,,,,,,,1528,False,False,,,Zambia,,
83/P,,LONGWE,PRIM,QJ8808,1929D4,29,,-80119.89,,2190014.72,,1511.2,,194753.369,294552.611,,27,,789654.03,,7808674.07,,0,0,,0,,,,0.15,1.2,0.935,0.48,,,,,1982-06-07 00:00:00,,1929,False,False,SEC SIGNAL,,Shurugwi,,
83/Q,0,M.W MAST NORTON,QUART,TR5414,1730D1,31,0,34070.85,0,1984924.91,0,1552.1,,175647.647,304042.218,,33,0,254094.3,0,8014362.8,0,0,0,,0,,0,,0.15,1.2,0,0,,,,,,,1730,True,False,HEIGHT TO TOP OF SIGNAL,,Darwendale,,
83/S,,DADAYA,SEC,RH0854,2029B4,29,,-99467.52,,2243776.83,,1259.1,,201658.353,295707.777,,27,,808367.84,,7754651.45,,0,0,,0,,,,0.3,1.2,0.922,0.465,,,,,1994-09-14 00:00:00,,2029,False,False,,,Mberengwa,,
83/T,,Pangula,TERT,UR0633,1731C3,31,,-19248.8,,1965504.28,,1557.9,,174616.568,311053.466,,33,,307213.22,,8034357.22,,0,0,,0,,,,1.5,1.273,0.927,0.47,,,,,2001-05-11 00:00:00,,1731,False,False,"Lines to 800/S, 169/S, 177/S, 79/T Blocked by gumtrees",,Harare,,
830/S,,NOOITGEDACHT,SEC,VN7675,2032B2,33,,23679.19,,2225627.4,,1162.8,,200716.916,324624.799,,33,,476330.28,,7775262.85,,0,0,,0,,,,0.15,1.2,0.925,0.469,,,,,1995-07-03 00:00:00,,2032,False,False,,,Chipinge,,
